backend,metric,group,value,n,population_pairs
claude,n_tasks,all,370,370,
claude,n_valid_verdicts,all,351,351,
claude,n_failed_or_unparsed,all,19,19,
claude,merge_precision,near_merged,0.0833,72,
claude,missed_duplicate_rate,near_unmerged,0.0141,71,
claude,false_removal_rate,removed,0.8696,138,
claude,mean_confidence,all,0.9218,351,
claude,bin_precision,0.80-0.85,0.0,38,215076
claude,bin_precision,0.85-0.88,0.0465,43,44154
claude,bin_precision,0.88-0.92,0.0577,52,24361
claude,bin_precision,0.92-0.95,0.1,40,7421
claude,bin_precision,0.95-1.00,0.15,40,2621
claude,threshold_precision_weighted,0.80,0.0156,213,293633
claude,threshold_precision_unweighted,0.80,0.0704,213,
claude,threshold_precision_weighted,0.85,0.0585,175,78557
claude,threshold_precision_unweighted,0.85,0.0857,175,
claude,threshold_precision_weighted,0.88,0.0739,132,34403
claude,threshold_precision_unweighted,0.88,0.0985,132,
claude,threshold_precision_weighted,0.92,0.1131,80,10042
claude,threshold_precision_unweighted,0.92,0.125,80,
claude,threshold_precision_weighted,0.95,0.15,40,2621
claude,threshold_precision_unweighted,0.95,0.15,40,
deepseek,n_tasks,all,370,370,
deepseek,n_valid_verdicts,all,370,370,
deepseek,n_failed_or_unparsed,all,0,0,
deepseek,merge_precision,near_merged,0.0933,75,
deepseek,missed_duplicate_rate,near_unmerged,0.0267,75,
deepseek,false_removal_rate,removed,0.8467,150,
deepseek,mean_confidence,all,0.9476,370,
deepseek,bin_precision,0.80-0.85,0.0244,41,215076
deepseek,bin_precision,0.85-0.88,0.0435,46,44154
deepseek,bin_precision,0.88-0.92,0.0943,53,24361
deepseek,bin_precision,0.92-0.95,0.1,40,7421
deepseek,bin_precision,0.95-1.00,0.225,40,2621
deepseek,threshold_precision_weighted,0.80,0.0368,220,293633
deepseek,threshold_precision_unweighted,0.80,0.0955,220,
deepseek,threshold_precision_weighted,0.85,0.0706,179,78557
deepseek,threshold_precision_unweighted,0.85,0.1117,179,
deepseek,threshold_precision_weighted,0.88,0.1055,133,34403
deepseek,threshold_precision_unweighted,0.88,0.1353,133,
deepseek,threshold_precision_weighted,0.92,0.1326,80,10042
deepseek,threshold_precision_unweighted,0.92,0.1625,80,
deepseek,threshold_precision_weighted,0.95,0.225,40,2621
deepseek,threshold_precision_unweighted,0.95,0.225,40,
claude|deepseek,cohen_kappa,all,0.6572,351,
claude|deepseek,raw_agreement,all,0.9345,351,
claude|deepseek,cohen_kappa,bin,0.3046,70,
claude|deepseek,raw_agreement,bin,0.8286,70,
claude|deepseek,cohen_kappa,near_merged,0.7465,72,
claude|deepseek,raw_agreement,near_merged,0.9583,72,
claude|deepseek,cohen_kappa,near_unmerged,0.6603,71,
claude|deepseek,raw_agreement,near_unmerged,0.9859,71,
claude|deepseek,cohen_kappa,removed,0.7912,138,
claude|deepseek,raw_agreement,removed,0.9493,138,
