section,strategy,target,dataset,guard,aspect,prefix,metric,value,n
coverage,2025.emnlp-main.100,llama-3.1-8b,ALL,gptoss_safeguard,target,target,items,4319,
coverage,2025.emnlp-main.100,llama-3.1-8b,ALL,gptoss_safeguard,target,target,complete,4319,
coverage,2025.emnlp-main.100,llama-3.1-8b,ALL,gptoss_safeguard,target,target,unknown,2,
coverage,2025.emnlp-main.100,llama-3.1-8b,ALL,gptoss_safeguard,vanilla,vanilla,complete,4319,
gj_per_target,2025.emnlp-main.100,llama-3.1-8b,do-not-answer,gptoss_safeguard,strict_gj,target,rate,0.005325,939
gj_per_target,2025.emnlp-main.100,llama-3.1-8b,do-not-answer,gptoss_safeguard,strict_gj,vanilla,rate,0.002130,939
gj_per_target,2025.emnlp-main.100,llama-3.1-8b,AdvBench,gptoss_safeguard,strict_gj,target,rate,0.003846,520
gj_per_target,2025.emnlp-main.100,llama-3.1-8b,AdvBench,gptoss_safeguard,strict_gj,vanilla,rate,0.000000,520
gj_per_target,2025.emnlp-main.100,llama-3.1-8b,JBB-Behaviors,gptoss_safeguard,strict_gj,target,rate,0.000000,500
gj_per_target,2025.emnlp-main.100,llama-3.1-8b,JBB-Behaviors,gptoss_safeguard,strict_gj,vanilla,rate,0.000000,500
gj_per_target,2025.emnlp-main.100,llama-3.1-8b,HarmBench,gptoss_safeguard,strict_gj,target,rate,0.042500,400
gj_per_target,2025.emnlp-main.100,llama-3.1-8b,HarmBench,gptoss_safeguard,strict_gj,vanilla,rate,0.172500,400
gj_per_target,2025.emnlp-main.100,llama-3.1-8b,HarmfulQA,gptoss_safeguard,strict_gj,target,rate,0.009184,1960
gj_per_target,2025.emnlp-main.100,llama-3.1-8b,HarmfulQA,gptoss_safeguard,strict_gj,vanilla,rate,0.003571,1960
gj_per_target,2025.emnlp-main.100,llama-3.1-8b,ALL,gptoss_safeguard,strict_gj,target,rate,0.009724,4319
gj_per_target,2025.emnlp-main.100,llama-3.1-8b,ALL,gptoss_safeguard,strict_gj,vanilla,rate,0.018060,4319
coverage,2025.emnlp-main.100,gemma-3-4b,ALL,gptoss_safeguard,target,target,items,4319,
coverage,2025.emnlp-main.100,gemma-3-4b,ALL,gptoss_safeguard,target,target,complete,4319,
coverage,2025.emnlp-main.100,gemma-3-4b,ALL,gptoss_safeguard,target,target,unknown,7,
coverage,2025.emnlp-main.100,gemma-3-4b,ALL,gptoss_safeguard,vanilla,vanilla,complete,4319,
gj_per_target,2025.emnlp-main.100,gemma-3-4b,do-not-answer,gptoss_safeguard,strict_gj,target,rate,0.009585,939
gj_per_target,2025.emnlp-main.100,gemma-3-4b,do-not-answer,gptoss_safeguard,strict_gj,vanilla,rate,0.000000,939
gj_per_target,2025.emnlp-main.100,gemma-3-4b,AdvBench,gptoss_safeguard,strict_gj,target,rate,0.001923,520
gj_per_target,2025.emnlp-main.100,gemma-3-4b,AdvBench,gptoss_safeguard,strict_gj,vanilla,rate,0.000000,520
